id,Challenge,Idea Title,Idea URL,Assessor,triplet_id,proposal_id,Impact / Alignment Note,Impact / Alignment Rating,Feasibility Note,Feasibility Rating,Auditability Note,Auditability Rating,Blank,Filtered Out,Filtered Out: rationale
9,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_101,101-370088,370088,"This porposal ask for funding of a very decisive and 'official' role within the CATALYST CIRCLE. 

This role has started out on voluntary (unpaid) basis, but requires now substantial work-effort of about 30 hours a month and needs to be funded (it is all about documenting and maintaining the work of the CATALYST CIRCLE in the correponding GitHub repository). 

According to my personal profesional experience, these type of work is absolutely essential for collaborative organizations - therefore my full support.",5,"The proposer, Stephen Whitenstall, has 30 years experience in organizing academic, community and business projects and is deeply engaged within CATALYST CIRCLE and SWARM. 

Major elements of the proposal already exist and are heavily used. The proposal is mainly about the ongoing work of documenting and sharing the work of the CATALYST CIRCLE. 

What I can judge, usage and adoption are therefore highly secured - therefore my full support.",5,"The proposer has outlined the costs, roadmap and major elements of the work behind this proposal. All is based on already happening (currently voluntary) activities, which need to be fairly funded now. 

The applied rates and the asked funding apprears very reasonable to me - therefore also my full support for this part of the proposal.",5,,,
471,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_183,183-370088,370088,"Yes. It may not be straightforward to everyone how documentation and more generally, information contribute to decision making, nevertheless, in time it should become clearer to Cardano supporters that documentation and information are fundamental for decision making in technological innovation, software development, and blockchain governance. This project does a very efficient job, founded by actual work done, in demonstrating how documentation for oversight can be achieved. Outside of the scope of the current proposal, I would recommend that the proponent considers how oversight will relate in the future to implementation (i.e.: sanctioning corrupt or inefficient behavior). The reason for this suggestion is that in the long run, oversight without sanctions/control would eventually become useless. Thank you for your proposal and good luck.",5,Yes. The proponent provides us with confidence to support the project by having already demonstrated it without the precious economic undersigning. This is an example of innovation through execution and iteration.,5,"Yes. The proposal provides not only the information necessary to audit it but also the tools (links) to do so. In addition, the proponent has demonstrated availability and responsiveness to the Catalyst community. I highly recommend that if the proposal is funded, the proponent pay great attention to the automation and future decentralization of the oversight tools. It will be highly desirable that in the future, the tools developed here for project oversight can be transferred to other community members, to other projects, to future generations, and to decentralized communities. To achieve this, it seems desirable that the processes of documenting activities, publishing and disseminating will be as automated as possible and independent from individual human skills and dispositions (e.g.: going from automatic note-taking i.e.: 'subtitles generation', to social media posting).",5,,,
570,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_22,22-370088,370088,The ongoing work outlined in the proposal is to the benefit of the Cardano ecosystem and addresses the challenge effectively.,5,The proposer has a track record of delivering value. The plan is detailed with a reasonable and understandable budget. It is highly likely that the proposal will be implemented successfully.,5,The roadmap acts as sufficient metrics which can be audited by the community.,5,,,
1123,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_309,309-369556,369556,"The proposal fits well in challenge settings (A sense of community and conversations), and the project is having a vibrating impact on Cardano community already. 

The key metrics and goals of the proposal align with the outlined challenge settings and the proposal is able to address future challenges. 
",5,"An ongoing viable project needs funding for a 3 months maintenance period and the working plan is very well articulated. 

The budget is realistically outlined and broken down into identifiable items and is reasonable to achieve the set goal. 

No risk is associated with the solution, but for that type of activity and for its necessary timeframe it is unlikely that something (impactful) may occur to alter the state of this phase of project.",4,"It is highly likely that the proposal will succed as is well articulated as a working plan, has its roadmap defined with milestones and a time horizon for achievement, and the given experience of the proposer. 

Metrics/KPIs that define the success of the proposal are set.",5,,,
2427,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_411,411-370088,370088,Allows for independent oversight of Catalyst Circle + active site that documents & tracks the activities of the Catalyst Circle,5,"Stephen Whitenstall has 30 years' experience in organizing academic, community and business projects. He develops, maintains documentation and provides technical project management support for Catalyst Swarm. Clear budget, marketing, and roadmap.",4,"weekly breakdowns, as week as a clear outline",5,,,
2776,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_43,43-369556,369556,"The problem and solution are reasonable and within the scope of the challenge. 

Catalyst-Swarm-Genesis GitBook is a repository of important information about Catalyst Swarm and Catalyst. The maintenance and curation of live sessions and information about Catalyst allows for a channel of aggregation and redirection of the community, important aspects to educate and inform the community, which consequently helps to maintain cohesion and mitigate information fragmentation, providing a channel where people can learn about Catalyst and know where to look for more information. Gitbook maintenance also allows for asynchronous communication, enabling the community to access content from previous sessions in the future. 

No metrics/KPIs related to the material to be cataloged were presented, which I consider important for impact assessment. I would recommend establishing some targets for the amount of material to be archived.",4,"The proposer has been carrying out the work voluntarily for a few months and by looking at the Gitbook it is possible to check the quality of the work developed. There are details about the proposer's qualifications and experience (with sources to check) indicating ability to execute the proposal. 

There is a reasonable and adequate plan for maintaining the repository for a period of 3 months. A budget breakdown was presented and the values defined are reasonable.",5,"There is clarity in the problem, solution and their relationship to the challenge. 

The roadmap has a temporary line of 12 months, and the fundind will be allocated to the next three months of maintenance, the proposer will look for alternative funding on the following months. 

The cataloged material is public, so it is easy to check what is being carried out. Metrics/KPIs were not established that would allow the proposal to be audited in an objective way. I would recommend including targets for the files/content to be added to Gitbook.",4,,,
2807,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_43,43-370088,370088,"The problem and solution presented are reasonable and within the scope of the challenge. 

Distributed decision making was one of the reasons that Catalyst Circle was created and is composed of 7 members from different sectors of the community. These members are representatives of large groups and different interests. Maintaining coordination across such a large community and with such broad and diverse interests makes the Catalyst Circle role essential to Cardano's governance. This proposal seeks to document, monitor and communicate information from the Catalyst Circle, so I see huge potential impact for the challenge. 

It was established that the proposal will maintain documentation, monitoring and communication of information for 6 months, and an estimate of 27 hours per month was established for the fulfillment of these activities. These goals indicate a positive and evident impact on the challenge. 

I believe the inclusion of some goals/KPIs could more clearly demonstrate the potential impact of the proposal.",5,"The proposer described extensive professional experience in organizing academic, community and business projects and inserted sources for verification/attestation. 

There is a link to Gitbook where it is possible to check the work already performed voluntarily by the proposer for a few months. 

The proposal presents a comprehensive and well-structured plan, reasonable timeline There is a reasonable budget breakdown associated with hourly load x hourly rate. 

The information presented indicates total feasibility conditions for the execution and the fact that the proposer has been developing the work for several weeks on a voluntary basis is an excellent indicator.",5,"There is clarity on the problem, solution and alignment with the challenge. 
The fact that the development of the project is open source and maintains gitbook helps a lot in the audit process. A roadmap with goals was presented. I recommend adding metrics/KPIs for easy auditing.",4,,,
2844,F6: Distributed decision making,Oversight of Catalyst Circle,http://app.ideascale.com/t/UM5UZBndB,z_assessor_430,430-370088,370088,"The problem and solution description is within the scope of the challenge. The proposal is fully aligned with the challenge and has great potential to improve the documenting, tracking & communicating the activities, discussions and decisions of Catalyst Circle thereby making it more transparent and accessible to all. When this processes are improve , it will impact the community positively.",5,"The proposer already actively participates in the Cardano community. There are details about the experience of the proposer and his skills, signalling the qualification and aptitude to execute the proposal. The Information Provided shows it is highly likely this proposal will be implemented successful . The Budget items shows clearly what the money will be use for . There is comprehensive roadmap though no start date , I still score 5",5,"The proposal is very thorough. The url provided has substantial content. The road map and the budget is straight forward. I like the weekly breakdown. I believe this is sufficient to audit the progress and success of this proposal. Since there is no definition of a start date , i score 4",4,,,
2928,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_439,439-369556,369556,,5,,4,,4,x,,
3130,F6: Catalyst value onboarding,Catalyst-Swarm-Genesis GitBook,http://app.ideascale.com/t/UM5UZBnTS,z_assessor_45,45-369556,369556,"Trying to make sense of Catalyst is an almost impossible task with multiple channels and resources available (especially for newbies). As a Catalysts participant for several months i have seen Swarm starting to establish into a dependable hub. As such this proposal will help add value to the community and is worth funding. 

The piece i would have liked to have seen in this proposal is how the GitHub and Swarm aligns with the catalyst circle, IOG you tube channel and the catalyst community site (dev.projectcatalyst.org) along with others. There is some duplication of content (eg TH slides). As part of the marketing it would be good to how Swarm differentiates itself and the boundaries within which it works.",5,"I have validated the time estimates for maintenance and marketing with someone who does this for a living and they both make sense. 
As Stephen has been doing the maintenance it is reasonable to expect he will continue. 
The budget also seems sensible for this type of work. My reference point for this employment of freelance staff to conduct both admin and social media marketing roles on project i have run.",5,"A set of targets to define success is missing. 
eg. 
- x link through from social media to gitbook 
- no of visits to gitbook 
- no of new attendees to swarm sessions - referred via the marketing campaign 

the risks should also be called out. There are 2 i see that require mitigation: 
1. Stephen is no longer able to maintain the gitbook or drive the social media updates 
2. sponsorship is not forthcoming in the next few months - do this work stop or will the proposer come back for further interim funding?",4,,,
